NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2018],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Santa Bárbara,3157203,santa-barbarense,LERIS FELISBERTO BRAGA,684.06,30807,40.75,96.9,0.707,11.85,97196.94575,83429.79219,22766.6,
Santa Bárbara do Leste,3157252,santa barbarense,WILMA PEREIRA MAFRA RIBEIRO,107.402,8113,71.53,96.5,0.613,27.78,18652.59508,15887.56004,9670.44,
Santa Bárbara do Monte Verde,3157278,barbarense,ISMAEL TEIXEIRA DE PAIVA,417.925,3117,6.67,98.4,0.606,29.41,13937.55452,12319.31955,13033.5,
Santa Bárbara do Tugúrio,3157302,tuguriense,VICENTE PAULO DA SILVA,194.564,4454,23.49,97.3,0.637,-,15641.45854,14865.48006,10932.95,
Santa Cruz de Minas,3157336,santacruzense,SINARA RAFAELA CAMPOS,3.565,8541,2206.17,98.7,0.706,-,15672.87876,13669.03368,8820.93,
Santa Cruz de Salinas,3157377,santacruzense,ALINE TEIXEIRA,589.607,4177,7.46,99.6,0.577,-,15258.40169,14386.51949,8314.87,
Santa Cruz do Escalvado,3157401,santa-cruzense,SONIA MARIA UNTALER,258.726,4793,19.29,97.2,0.625,-,22653.00566,16144.33788,9119.29,
Santa Efigênia de Minas,3157500,santa-efigense,RONALDO MAGNO DE MOURA,131.965,4438,34.86,95.2,0.607,-,14570.44474,11683.08148,8195.93,
Santa Fé de Minas,3157609,santa-feense,EDSON APARECIDO FREIRE DOS SANTOS,2917.448,3866,1.36,97.2,0.615,-,15425.91728,13551.32658,9384.19,
Santa Helena de Minas,3157658,santaelenense de minas,ARTUR RODRIGUES DA SILVA,276.433,6345,21.9,89.2,0.567,33.61,15693.63082,14814.28049,6479.51,
Santa Juliana,3157708,santa-julianense,BELCHIOR ANTÔNIO DA SILVA,723.784,13743,15.66,92,0.706,15.96,50051.78661,43148.66172,48847.6,
Santa Luzia,3157807,luziense,CHRISTIANO AUGUSTO XAVIER FERREIRA,235.076,218147,862.38,96.7,0.715,11.15,405174.5992,386316.2584,15182.19,
Santa Margarida,3157906,santa-margaridense,GERALDO SCHIAVO,255.73,16111,58.7,93.2,0.61,8,34627.65223,29332.42058,16310.11,
Santa Maria de Itabira,3158003,santa-mariense,REINALDO DAS DORES SANTOS,597.441,10836,17.66,98.3,0.648,19.87,24151.44054,33984.79782,13291.84,
Santa Maria do Salto,3158102,santa-mariense,MARLON CAIRES SOUZA,440.605,5248,11.99,97.7,0.613,-,14328.79296,13794.81302,7235.93,
Santa Maria do Suaçuí,3158201,santa-mariense,RODOLFO LIMA NETO,624.047,14620,23.07,96.9,0.64,-,36807.11611,25356.2178,8433.84,
Santana da Vargem,3158300,vargense,RENATO TEODORO DA SILVA,172.444,7128,41.93,98.8,0.698,11.9,20134.57239,17014.80138,21508.74,
Santana de Cataguases,3158409,santanense,MARIA JUCELIA BAESSO PROCACI,161.486,3853,22.43,100,0.694,55.56,14969.06219,13998.4426,11465.35,
Santana de Pirapama,3158508,pirapamenho,DALTON SOARES SILVA,1255.832,7696,6.38,99.5,0.628,-,17699.75416,14837.42595,11566.8,
Santana do Deserto,3158607,santanense,WALLACE SEBASTIAO VASCONCELOS LEITE,182.655,3971,21.13,95.9,0.651,-,15111.16577,13767.79927,9302.17,
Santana do Garambéu,3158706,santanense,ADAILTON FONSECA DA CUNHA,203.074,2438,11,99,0.667,50,13244.31392,12114.19695,11793.9,
Santana do Jacaré,3158805,santanense,ALEIRIS SOARES VIANA,106.169,4807,43.39,99.6,0.647,23.81,14496.70163,12530.73445,14814.35,
Santana do Manhuaçu,3158904,santanense,ROSA LUZIA MENDES ASSIS,347.362,8681,24.71,96,0.621,27.52,18211.06721,16005.85144,11480.6,
Santana do Paraíso,3158953,paraisense,LUZIA TEIXEIRA DE MELO,276.067,33934,98.76,97.1,0.685,10.08,57990.21968,55456.43713,15602.87,
Santana do Riacho,3159001,riachense,ANDRÉ FERREIRA TORRES,677.207,4274,5.94,98.2,0.665,-,16850.37815,15122.3097,13987.21,
Santana dos Montes,3159100,santanense,ANTONIO ALVES NOGUEIRA FILHO,196.565,3789,19.44,96.8,0.647,-,13084.65923,10835.80112,9162.57,
Santa Rita de Caldas,3159209,santa-ritense,GERALDO DONIZETI DE CARVALHO,503.011,8974,17.95,98.4,0.69,13.7,22856.57478,19798.64051,18450.82,
Santa Rita de Jacutinga,3159308,santa-ritense,LUIZ FERNANDO OSORIO,420.94,4905,11.86,99,0.682,33.33,15734.64106,14374.86447,10864.79,
Santa Rita de Minas,3159357,santa-ritense,ADEMILSON LUCAS FERNANDES,68.153,7155,96.06,95.8,0.613,32.61,16304.65446,14908.25234,11562.09,
Santa Rita de Ibitipoca,3159407,ibitipoquense,JOSE RESENDE NOGUEIRA,324.234,3449,11.05,99.1,0.63,50,14558.62015,12440.54818,15465.18,
Santa Rita do Itueto,3159506,santa-ritense,FIRMINO TON,485.081,5522,11.74,97,0.607,-,16906.15052,15447.09018,21289.73,
Santa Rita do Sapucaí,3159605,santa-ritense,WANDER WILSON CHAVES,352.969,42751,106.96,98,0.721,11.43,89451.88306,76633.86846,38950.04,
Santa Rosa da Serra,3159704,rosalense,JOSE HUMBERTO RIBEIRO,284.334,3343,11.34,98.8,0.705,27.03,15348.27871,13127.40637,15085.67,
Santa Vitória,3159803,santa-vitoriense,ISPER SALIM CURI,3001.357,19608,6.04,97.4,0.71,3.85,135887.2365,108792.2588,35370.9,
Santo Antônio do Amparo,3159902,amparense,EVANDRO PAIVA CARRARA,488.885,18434,35.48,96.9,0.672,9.22,43115.92743,43882.40735,16461.55,
Santo Antônio do Aventureiro,3160009,aventureirense,PAULO ROBERTO PIRES,202.032,3602,17.51,98.4,0.671,-,13881.31021,11691.28227,11615.31,
Santo Antônio do Grama,3160108,gramense,ALCIONE FERREIRA DE ALBUQUERQUE LIMA,130.213,3937,31.37,97.1,0.633,-,15100.35583,14206.89684,17092.07,
Santo Antônio do Itambé,3160207,itambeano,JOÃO ANTÔNIO BARACHO JÚNIOR,305.737,3877,13.52,94.6,0.558,-,14756.2951,13550.09258,8031.27,
Santo Antônio do Jacinto,3160306,santo-antoniense,EMERSON PINHEIRO RUAS,503.706,11677,23.39,96.4,0.574,-,24944.54069,24525.82788,6930.04,
Santo Antônio do Monte,3160405,santo-antoniense,EDMILSON APARECIDO DA COSTA,1125.78,28054,23.07,94.5,0.724,5.28,74077.78499,61029.39951,17512.03,
Santo Antônio do Retiro,3160454,retirense,AILSON FABIANO RIBEIRO,796.29,7256,8.73,95.9,0.57,12.2,18555.55152,18300.35494,6917.34,
Santo Antônio do Rio Abaixo,3160504,santo-antoniense,JORGE ANTÔNIO DE SÁ,107.269,1770,16.57,99.3,0.669,-,11824.2601,10184.80786,11244.7,
Santo Hipólito,3160603,santo-hipolitense,GILSON SANTIAGO ARANHA JUNIOR,430.656,3109,7.52,97.7,0.657,27.78,14285.97157,11922.91447,12056.82,
Santos Dumont,3160702,sandumonense,CARLOS ALBERTO DE AZEVEDO,637.373,46555,72.62,96.6,0.741,25.73,84091.38198,78633.21482,19343.78,
São Bento Abade,3160801,são-bentense,JANE REZENDE SILVA ELIZEI,80.403,5220,56.93,100,0.672,13.51,15676.66897,13794.90634,13698.89,
São Brás do Suaçuí,3160900,suaçuiense,ELIAS RIBEIRO DE SOUZA,110.019,3721,31.93,84.2,0.664,-,19860.80532,18430.43812,15833.33,
São Domingos das Dores,3160959,sandominguense,JOSE ADAIR DA SILVA,60.865,5630,88.85,98.1,0.638,12.35,17556.47281,15636.55903,15029.76,
São Domingos do Prata,3161007,pratense,JOSE ALFREDO DE CASTRO PEREIRA,743.768,17393,23.34,98.3,0.69,15.71,36345.23818,32758.66337,12786.35,
São Félix de Minas,3161056,são felense,CLEUDISON LUIZ DA SILVA,162.56,3377,20.8,99.1,0.62,-,16303.98036,15057.14438,10414.22,
São Francisco,3161106,são-franciscano,EVANILSO APARECIDO CARNEIRO,3308.1,56163,16.27,97.4,0.638,17.88,107274.0616,91432.05465,8459.78,
São Francisco de Paula,3161205,francisco-paulense,MERITON BALDUÍNO ALVES,316.822,6535,20.46,96.8,0.66,37.04,19345.13524,16091.42106,15081.64,
São Francisco de Sales,3161304,são-francisco-salense,JOSÉ SEBASTIÃO DE OLIVEIRA,1128.864,6200,5.12,94.8,0.688,17.54,27272.15866,23276.65327,23063.95,
São Francisco do Glória,3161403,são-franciscano-do-glória,WALACE FERREIRA PEDROSA,164.613,4889,31.46,96.4,0.663,-,19776.22103,14718.96436,11824.24,
São Geraldo,3161502,são-geraldense,MARCILIO MOREIRA BARROS,185.578,12164,55.3,96.8,0.651,40,23188.37247,20813.603,13374.81,
São Geraldo da Piedade,3161601,são-geraldense,OZANAM OLIVEIRA DE FARIAS,152.336,4015,28.81,96.9,0.6,-,15654.86102,14952.74449,8788.18,
