NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2018],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
São João do Triunfo,4125100,triunfense,ABIMAEL DO VALLE,720.407,14996,19.02,96.9,0.629,18.07,41574.81288,34541.15497,30780.46,
São Jorge d'Oeste,4125209,são-jorgense ou jorgense,GILMAR PAIXÃO,379.545,9074,23.94,98.9,0.722,-,51126.19488,41882.76379,27420.61,
São Jorge do Ivaí,4125308,são-jorgense,ANDRE LUIS BOVO,315.088,5559,17.51,98.4,0.743,17.86,26959.24204,23256.3725,46185.93,
São Jorge do Patrocínio,4125357,patrocinense,JOSE CARLOS BARALDI,404.69,5698,14.93,97.2,0.676,11.49,40343.7184,29544.98331,18344.53,
São José da Boa Vista,4125407,boa-vistense,PEDRO SERGIO KRONEIS,399.667,6254,16.29,99.2,0.671,30.77,23499.10719,21752.1652,23390.59,
São José das Palmeiras,4125456,são-joseliense,GILBERTO FERNANDES SALVADOR,182.419,3682,21,99.5,0.713,16.39,17947.11514,14640.28458,21429.81,
São José dos Pinhais,4125506,são-joseense,ANTONIO BENEDITO FENELON,946.435,317476,279.16,97.4,0.758,12.8,1055101.385,927029.4308,66531.31,
São Manoel do Paraná,4125555,são manoelense,AGNALDO TREVISAN,95.381,2158,22,97.8,0.725,-,20782.43149,16019.47495,22979.56,
São Mateus do Sul,4125605,são-mateuense,LUIZ ADYR GONÇALVES PEREIRA,1341.714,45806,30.75,97.6,0.719,9.4,140758.9387,103354.8364,26537.52,
São Miguel do Iguaçu,4125704,são-miguelense,CLAUDIOMIRO DA COSTA DUTRA,851.917,27325,30.27,99,0.704,11.68,116421.1843,104152.8918,37343.23,
São Pedro do Iguaçu,4125753,São pedrense,FRANCISCO DANTAS DE SOUZA NETO,308.324,5976,21.05,97.3,0.683,13.33,23006.61637,18568.07813,28184.41,
São Pedro do Ivaí,4125803,ivaiense,JOSE DONIZETE ISALBERTI,322.692,10915,31.51,97.6,0.717,-,33555.62415,29018.40357,24062.21,
São Pedro do Paraná,4125902,são-pedrense,NEILA DE FATIMA LUIZAO FERNANDES,250.654,2338,9.94,100,0.704,-,20679.97631,16676.83922,26809.76,
São Sebastião da Amoreira,4126009,amoreirense,ADEMIR LOURENÇO GOUVEIA,227.982,8847,37.84,99,0.715,8.93,25624.73857,20740.9024,21107.67,
São Tomé,4126108,são-tomeense,OCELIO CESAR FERREIRA LEITE,218.623,5693,24.47,98.7,0.725,12.5,29264.12453,27978.8575,28890.22,
Sapopema,4126207,sapopemense,GIMERSON DE JESUS SUBTIL,677.609,6751,9.94,96.7,0.655,33.71,23854.10908,20416.97823,14212.29,
Sarandi,4126256,sarandiense,WALTER VOLPATO,103.501,95543,800.74,96.3,0.695,10.7,217297.37,177788.874,15514.11,
Saudade do Iguaçu,4126272,saudadense,MAURO CESAR CENCI,152.085,5459,33.06,99,0.699,-,49523.56827,44499.06805,148439.7,
Sengés,4126306,sengeano,NELSON FERREIRA RAMOS,1441.333,19267,12.81,97.7,0.663,20.83,57112.14103,46157.20937,23178.86,
Serranópolis do Iguaçu,4126355,serranopolitano,JOSIANE KOCHHANN,482.394,4513,9.44,100,0.762,-,29443.5712,24217.85381,41063.41,
Sertaneja,4126405,sertanejano,JAMISON DONIZETE DA SILVA,444.492,5355,13.09,99.6,0.725,25.97,30526.38201,25360.04365,46202.41,
Sertanópolis,4126504,sertanopolense,ALEOCIDIO BALZANELO,505.532,16323,30.93,97.1,0.723,-,62567.83107,56511.76848,34587.73,
Siqueira Campos,4126603,siqueirense,FABIANO LOPES BUENO,278.035,20778,66.37,97.5,0.704,4.08,61000.99279,51883.23567,23247.54,
Sulina,4126652,sulinense,PAULO HORN,170.759,3033,19.88,99.2,0.693,-,20098.25066,17344.18985,28493.46,
Tamarana,4126678,tamaranense,ROBERTO DIAS SIENA,472.155,14548,25.97,94.4,0.621,11.98,39689.56157,31670.42513,19025.14,
Tamboara,4126702,tamboarense,ANTONIO CARLOS CAUNETO,193.347,5080,24.12,98.3,0.731,-,20204.16999,17119.3188,20905.58,
Tapejara,4126801,tapejarense,RODRIGO DE OLIVEIRA SOUZA KOIKE,591.399,16062,24.68,98.3,0.703,17.02,50743.61432,43030.17544,28357.67,
Tapira,4126900,tapirense,CLAUDIO SIDINEY DE LIMA,434.371,5584,13.44,99.2,0.697,11.76,25763.95988,22536.13642,20776.01,
Teixeira Soares,4127007,teixeira-soarense,LUCINEI CARLOS THOMAZ,902.793,12163,11.39,96.8,0.671,13.89,43229.69219,36435.25281,28166.74,
Telêmaco Borba,4127106,telêmaco-borbense,MÁRCIO ARTUR DE MATOS,1382.86,78135,50.53,98.4,0.734,12.69,260173.8572,205589.4514,44278,
Terra Boa,4127205,terra-bonense,VALTER PERES,320.85,16984,49.17,98.8,0.728,22.73,56658.3206,48482.36056,23616.2,
Terra Rica,4127304,terra-riquense,JULIO CESAR DA SILVA LEITE,700.599,16652,21.73,98.8,0.71,14.34,60844.79138,51237.93434,19978.34,
Terra Roxa,4127403,terra-roxense,ALTAIR DONIZETE DE PADUA,800.807,17439,20.93,97.7,0.714,12.99,73384.75842,63316.9979,36596.92,
Tibagi,4127502,tibagiense,RILDO EMANOEL LEONARDI,2951.567,20436,6.55,96.6,0.664,10.1,100971.2692,76061.2327,43400.72,
Tijucas do Sul,4127601,tijucano-do-sul,ANTONIO CESAR MATUCHESKI,671.889,16646,21.64,97.2,0.636,12.05,47904.56132,39840.71109,21838.91,
Toledo,4127700,toledano,LUCIO DE MARCHI,1196.756,138572,99.68,98.8,0.768,13.53,538229.1783,437952.681,40433.37,
Tomazina,4127809,tomazinense,FLÁVIO XAVIER DE LIMA ZANROSSO,591.438,8032,14.86,98.4,0.699,8.4,26008.29575,20858.51625,19995.67,
Três Barras do Paraná,4127858,tribarrense,HELIO KUERTEN BRUNING,504.171,12043,23.45,98.3,0.681,-,46330.26474,41646.36392,24942.69,
Tunas do Paraná,4127882,tunense,JOEL DO ROCIO JOSE BOMFIM,668.478,8509,9.36,97.4,0.611,13.33,24012.12047,18041.84933,13594.37,
Tuneiras do Oeste,4127908,tuneirense,TAKETOSHI SAKURADA,698.871,8599,12.44,97.7,0.695,8.47,29703.10854,21886.50421,20701.61,
Tupãssi,4127957,tupãssiense,AILTON CAEIRO DA SILVA,310.909,8128,25.72,98.5,0.73,12.35,34527.4197,29925.62429,39132.78,
Turvo,4127965,turvense,JERONIMO GADENS DO ROSARIO,938.166,13340,15.07,97.5,0.672,19.51,55052.34591,39539.11264,27483.75,
Ubiratã,4128005,ubiratense,HAROLDO FERNANDES DUARTE,652.581,21119,33.03,97.7,0.739,10.99,82142.45535,70444.34875,41299.3,
Umuarama,4128104,umuaramense,CELSO LUIZ POZZOBOM,1234.537,110590,81.67,97.9,0.761,15.87,337496.3319,303817.5573,28924.83,
União da Vitória,4128203,união-vitoriense,HILTON SANTIN ROVEDA,719.998,57111,73.24,98.2,0.74,15.83,185584.8033,165968.5378,24911.77,
Uniflor,4128302,uniflorense,ALAN ROGÉRIO PETENAZZI,94.819,2595,26.01,98.3,0.72,-,16685.73569,14691.4441,22594.64,
Uraí,4128401,uraiense,CARLOS ROBERTO TAMURA,237.81,11356,48.24,98.6,0.721,-,24200.98516,23464.275,20740.38,
Wenceslau Braz,4128500,brazense,PAULO LEONAR FERREIRA AMADOR,397.916,19444,48.5,98.2,0.687,17.73,54349.14374,49337.14724,24319.16,
Ventania,4128534,ventaniense,ANTONIO HELLY SANTIAGO,759.367,11703,13.11,95.7,0.65,29.63,31377.76781,24912.93406,20722.91,
Vera Cruz do Oeste,4128559,vera-cruzense,EDNEI SGOBI,327.09,8590,27.43,97.7,0.699,8.85,28854.28413,23401.88872,26852.36,
Verê,4128609,vereense,ADEMILSO ROSIN,311.801,7342,25.27,98.1,0.72,8.4,34659.27348,31170.78262,35820.34,
Alto Paraíso,4128625,altoparaisense,DERCIO JARDIM JUNIOR,967.772,2799,3.31,99.4,0.678,36.36,26384.37245,21671.08011,27446.02,
Doutor Ulysses,4128633,ulyssense,MOISEIS BRANCO DA SILVA,777.482,5609,7.33,94.4,0.546,15.38,20683.23057,15683.6924,11518.45,
Virmond,4128658,virmondense,NEIMAR GRANOSKI,243.173,4023,16.24,99.5,0.722,-,17839.87906,14596.34952,23445.19,
Vitorino,4128708,vitorinense,JUAREZ VOTRI,308.218,6817,21.13,97.4,0.702,-,27644.17905,24484.02504,51042.23,
Xambrê,4128807,xambrense,WALDEMAR DOS SANTOS RIBEIRO FILHO,359.712,5728,16.71,98.6,0.706,13.7,21321.47699,17509.37545,14200.33,
Abreulândia,1700251,abreulandense,MARIVALDO DIAS LIMA,1895.212,2564,1.26,95.7,0.665,-,11874.80853,11387.19982,18543.35,
Aguiarnópolis,1700301,aguiarnopolense,IVAN PAZ DA SILVA,235.394,6572,21.93,96.9,0.657,-,19456.10654,18280.86823,21344.72,
Aliança do Tocantins,1700350,aliancense,JOSÉ TAVARES DE OLIVEIRA,1579.751,5434,3.59,96.2,0.663,12.82,14911.3544,14065.56031,16945.25,
Almas,1700400,almense,WAGNER NEPOMUCENO CARVALHO,4013.243,7131,1.89,94.4,0.636,15.63,16408.99741,15067.30943,17092.53,
Alvorada,1700707,alvoradense,PAULO ANTONIO DE LIMA SEGUNDO,1212.167,8427,6.91,99,0.708,8,30056.82858,20520.71146,31782.67,
Ananás,1701002,ananaense,VALBER SARAIVA DE CARVALHO,1576.973,9607,6.26,98.7,0.671,6.13,21605.42616,19045.38121,11111.07,
Angico,1701051,angicoense,DEUSDETE BORGES PEREIRA,451.733,3417,7.03,99.5,0.648,25,9931.10357,10745.5125,12943.4,
Aparecida do Rio Negro,1701101,aparecidense,DEUSIMAR PEREIRA DE AMORIM,1160.368,4741,3.63,97.6,0.651,-,16368.37314,14690.22477,15737.61,
Aragominas,1701309,aragominense,ELIETE ALVES DE MELO,1173.035,5786,5.01,97.2,0.593,-,14165.45387,13383.03623,10849.37,
Araguacema,1701903,araguacemense,ISABELLA ALVES SIMAS PEREIRA,2778.452,7016,2.27,98.3,0.639,14.71,18284.33329,17548.13532,13644.08,
Araguaçu,1702000,araguaçuense,JOAQUIM PEREIRA NUNES,5167.652,8567,1.7,97,0.675,-,23294.12769,20019.60006,20759.38,
Araguaína,1702109,araguainense,RONALDO DIMAS NOGUEIRA PEREIRA,4000.416,177517,37.62,97.5,0.752,14.69,427808.7823,371399.0766,21981.28,
Araguanã,1702158,araguanaense,FERNANDO LUIZ DOS SANTOS,836.03,5663,6.02,96.9,0.604,24.69,14623.18038,12526.16135,11980.53,
Araguatins,1702208,araguatinense,CLAUDIO CARNEIRO SANTANA,2625.286,35346,11.93,95.5,0.631,6.18,63190.40725,55563.81562,10837.63,
Arapoema,1702307,arapoemense,LUCINEIDE PARIZI FREITAS,1552.217,6670,4.34,96.9,0.68,-,14075.45403,8860.0136,15700.19,
Arraias,1702406,arraiano,ANTONIO WAGNER BARBOSA GENTIL,5786.866,10601,1.84,97.6,0.651,17.86,23889.13473,21311.41331,13306.15,
Augustinópolis,1702554,augustinopolino,JULIO DA SILVA OLIVEIRA,394.976,18178,40.38,97.1,0.67,11.83,34336.61177,31025.72373,12462.39,
Aurora do Tocantins,1702703,aurorense,ALOILSON TAVARES CARDOSO,752.83,3731,4.58,97.9,0.677,31.25,10438.81328,9319.15845,11182.35,
Axixá do Tocantins,1702901,axixaense,DAMIÃO CASTRO FILHO,150.213,9725,61.75,99,0.627,16.04,24886.95073,24184.23709,10986.07,
Babaçulândia,1703008,babaçulense,ALENO DIAS GUIMARAES,1788.463,10662,5.83,96.9,0.642,18.18,21689.0632,19881.6323,9459.65,
Bandeirantes do Tocantins,1703057,bandeirantense,JOSE MÁRIO ZAMBON TEIXEIRA,1541.846,3512,2.02,97.9,0.638,-,15764.25803,13053.44645,24058.35,
Barra do Ouro,1703073,barraourense,RAIMUNDA VIRGILENE SOUSA DE OLIVEIRA,1106.345,4549,3.73,96.9,0.603,-,12705.8086,11740.53949,12264.54,
Barrolândia,1703107,barrolandense,ADRIANO JOSÉ RIBEIRO,713.3,5614,7.5,95.7,0.642,12.05,14117.57112,13896.00827,12756.2,
Bernardo Sayão,1703206,bernardense,MARIA BENTA DE MELLO AZEVEDO,926.888,4469,4.81,96.8,0.638,16.67,14989.67733,12443.44374,16691.66,
Bom Jesus do Tocantins,1703305,bonjesuense,PAULO HERNANDES MOURA LIMA,1332.672,4779,2.83,97.5,0.66,12.99,12277.84514,10905.87465,13408.17,
Brasilândia do Tocantins,1703602,brasilandense,RICARDO FERREIRA DIAS,641.467,2191,3.22,98.7,0.684,-,11671.19242,9751.18509,18057,
Brejinho de Nazaré,1703701,brejinense,MIYUKI HYASHIDA,1724.45,5475,3.01,97.7,0.686,-,15173.71124,14057.78779,16361.1,
Buriti do Tocantins,1703800,buritinense,AMERICO DOS REIS BORGES,251.921,11197,38.77,95.8,0.627,-,19485.77092,16641.18355,7987.88,
Cachoeirinha,1703826,cachoeirense,PAULO MACEDO DAMACENA,352.346,2266,6.1,98.7,0.627,-,11373.91621,9758.17802,11646.1,
Campos Lindos,1703842,campolindense,JESSÉ PIRES CAETANO,3240.177,9917,2.51,92.8,0.544,18.07,24843.71689,23840.78084,28646.42,
Cariri do Tocantins,1703867,caririense,VANDERLEI ANTONIO DE CARVALHO JUNIOR,1128.601,4321,3.33,99.3,0.662,-,25675.7365,18025.87898,69814.24,
Carmolândia,1703883,carmolandense,NEURIVAN RODRIGUES DE SOUSA,339.405,2556,6.82,98.8,0.64,-,12385.26161,10413.2296,13806.71,
Carrasco Bonito,1703891,carrascoense,CARLOS ALBERTO RODRIGUES DA SILVA,192.939,4059,19.11,97.9,0.594,-,13303.16277,13341.79363,8606.1,
Caseara,1703909,casearense,ILDISLENE BERNARDO DA SILVA SANTANA,1691.637,5295,2.72,98.7,0.658,15.38,17113.82501,15716.56254,31125.63,
Centenário,1704105,centenarense,WESLEY DA SILVA LIMA,1954.699,2874,1.31,97.5,0.569,33.33,11730.87733,10958.36752,10684.43,
Chapada de Areia,1704600,chapadareiense,MARIA DE JESUS BARROS VARÃO,659.249,1401,2.03,97.7,0.619,-,9744.69414,8665.24094,15560.4,
Chapada da Natividade,1705102,chapadense,JOAQUIM URCINO FERREIRA,1646.472,3334,1.99,96.1,0.62,-,12738.45247,10364.41152,18274.93,
Colinas do Tocantins,1705508,colinense,ADRIANO RABELO DA SILVA,843.846,34990,36.54,97.7,0.701,12.41,89472.99548,74343.58146,18502.54,
Combinado,1705557,combinadense,LINDOLFO DO PRADO NETO,209.572,4843,22.28,98.6,0.697,-,11371.19024,10008.47929,12704.58,
Conceição do Tocantins,1705607,conceicionense,PAULO SÉRGIO TORRES FERNANDES,2500.74,4124,1.67,97.9,0.592,62.5,14183.8803,12955.8009,12027.47,
Couto Magalhães,1706001,coutoense,EZEQUIEL GUIMARAES COSTA,1585.786,5536,3.16,96.3,0.605,-,17584.38466,16840.83999,14343.67,
Cristalândia,1706100,cristalandense,CLEITON CANTUÁRIO BRITO,1848.241,7300,3.91,97.9,0.673,9.8,2866.78708,15123.09369,15376.09,
Crixás do Tocantins,1706258,crixaense,IVANIO MACHADO ROCHA,986.693,1708,1.59,100,0.644,47.62,11000.93127,9804.02424,23142.91,
Darcinópolis,1706506,darcinopolino,JACKSON SOARES MARINHO,1639.162,6018,3.22,93.5,0.581,9.52,16235.88397,13943.27418,20699.17,
Dianópolis,1707009,dianopolino,GLEIBSON MOREIRA ALMEIDA,3217.313,21850,5.94,97.4,0.701,15.63,50213.27355,39907.00473,13302.27,
Divinópolis do Tocantins,1707108,divinopolino,FLORISVANE MAURICIO DA GLORIA,2347.434,6856,2.71,97.5,0.683,10.2,18930.36663,16938.96595,16958.63,
Dois Irmãos do Tocantins,1707207,doisirmanense,WANILSON COELHO VALADARES,3757.036,7211,1.91,91.4,0.583,-,14417.81568,15381.51374,12563.51,
Dueré,1707306,duerense,VALDENI PEREIRA DE CARVALHO,3424.852,4687,1.34,96.8,0.679,-,15679.72538,13877.23948,26586.83,
Esperantina,1707405,esperantinense,ARMANDO ALENCAR DA SILVA,504.023,10851,18.8,97.6,0.57,28.99,22436.9798,21304.35059,7608.64,
Fátima,1707553,fatimense,WASHINGTON LUIZ VASCONCELOS,382.907,3841,9.94,98.3,0.697,-,12710.48159,12738.85981,15621.32,
Figueirópolis,1707652,figueiropolense,FERNANDES MARTINS RODRIGUES,1930.072,5284,2.77,97.9,0.689,75.95,16818.64099,14346.92775,21887.52,
Filadélfia,1707702,filadelfiense,IVANILZO GONÇALVES DE ALENCAR,1988.081,8837,4.28,96,0.621,25.42,19860.09632,17747.94439,11038.93,
Formoso do Araguaia,1708205,formosense do araguaia,WAGNER COELHO DE OLIVEIRA,13423.378,18482,1.37,97.6,0.67,16.72,46066.01789,46471.2914,19757.56,
Fortaleza do Tabocão,1708254,tabocoense,WAGNER TEIXEIRA DE FARIAS,621.562,2576,3.89,97.2,0.659,18.18,13914.61316,11575.29568,52494.83,
Goianorte,1708304,goianortense,LUCIANO PEREIRA DE OLIVEIRA,1800.983,5116,2.75,98.9,0.621,19.61,14802.25728,14978.46086,12775.33,
Goiatins,1709005,goiatinense,ANTONIO LUIZ PEREIRA SILVEIRA,6408.602,12942,1.88,94.3,0.576,18.38,28322.30249,26091.20943,11574.2,
Guaraí,1709302,guaraiense,LIRES TERESA FERNEDA,2268.161,25677,10.23,98.6,0.741,34.03,58952.52178,47515.26951,22271.24,
Gurupi,1709500,gurupiense,LAUREZ DA ROCHA MOREIRA,1836.091,85737,41.8,96.1,0.759,11.64,273477.3557,239607.1626,24036.9,
Ipueiras,1709807,ipueirense,CAIO AUGUSTO SIQUEIRA DE ABREU RIBEIRO,815.254,1977,2.01,98.7,0.62,-,10423.1608,8906.77715,15777.62,
Itacajá,1710508,itacajaense,CLEOMAN CORREIA COSTA,3051.36,7414,2.33,94.8,0.612,26.67,18880.17053,19914.26583,11459.07,
Itaguatins,1710706,itaguatinense,MARIA IVONEIDE MATOS BARRETO,739.858,5896,8.15,95,0.616,12.66,14569.44672,15259.82582,9391.2,
Itapiratins,1710904,itapiratinense,MARCIO PINHEIRO RODRIGUES,1243.961,3758,2.84,97.1,0.601,-,15613.54435,14460.84894,14125.35,
Itaporã do Tocantins,1711100,itaporanense,JOSE REZENDE SILVA,972.977,2435,2.51,97.3,0.65,-,11131.73643,10279.62892,17077.52,
Jaú do Tocantins,1711506,jauense,ONASSYS MOREIRA COSTA,2173.047,3819,1.61,99,0.662,-,15874.50009,14399.718,14081.84,
Juarina,1711803,juarinense,ANTONIO IVO GOMES DE DINIZ,481.048,2202,4.64,95.4,0.584,-,11145.7456,9611.09584,14680.19,
Lagoa da Confusão,1711902,lagoense,NELSON ALVES MOREIRA,10564.683,13034,0.97,88.5,0.627,46.95,34466.14909,30518.18334,36002.02,
Lagoa do Tocantins,1711951,lagoense do tocantins,RAIMUNDO NONATO NESTOR,911.342,4237,3.87,97.8,0.579,-,11608.54483,8999.36561,8451.72,
Lajeado,1712009,lajeadense,TERCIO DIAS MELQUIADES NETO,322.485,3101,8.6,95.5,0.675,34.48,33216.90148,28174.70353,18958.66,
Lavandeira,1712157,lavandeirense,ROBERTO CESAR FERREIRA DE OLIVEIRA,519.614,1892,3.09,97.9,0.66,-,8547.92467,8678.79181,11978.28,
Lizarda,1712405,lizardense,SUELENE LUSTOSA MATOS,5723.234,3748,0.65,95.9,0.57,21.28,11668.25747,9047.72423,8834.25,
Luzinópolis,1712454,luzinopolino,GUSTAVO DAMACENO DE ARAÚJO,279.563,3060,9.38,99,0.639,-,11335.99763,10101.94545,11787.98,
Marianópolis do Tocantins,1712504,marianopolino,JOSÉ DE ANDRADE PÁDUA,2091.374,5094,2.08,98.5,0.631,-,16448.35262,14276.76363,20155.56,
Mateiros,1712702,mateirense,JOÃO MARTINS NETO,9681.658,2638,0.23,95.8,0.607,71.43,13242.97341,11266.66887,23007.87,
Maurilândia do Tocantins,1712801,maurilandense,LEONEIDE CONCEIÇÃO SOBREIRA,738.105,3403,4.27,97.9,0.58,52.63,14788.35934,13462.49545,9334.72,
Miracema do Tocantins,1713205,miracemense,MOISÉS COSTA DA SILVA,2656.09,18566,7.79,97.1,0.684,16.45,55727.94465,50645.37048,33388.9,
Miranorte,1713304,miranortense,ANTÔNIO CARLOS MARTINS,1031.624,13375,12.24,97,0.662,22.99,31024.98243,26607.77202,16415.52,
Monte do Carmo,1713601,carmelito,ARQUIVARDES AVELINO RIBEIRO,3616.674,7827,1.86,94.3,0.622,11.9,18151.21476,15702.66138,16904.78,
Monte Santo do Tocantins,1713700,montesantense,CLEODSON APARECIDO DE SOUSA,1091.553,2263,1.91,97.3,0.62,-,11978.31462,9731.77792,17329.04,
Palmeiras do Tocantins,1713809,palmeirense,ERINALVA ALVES BRAGA,747.898,6570,7.67,97.1,0.628,14.93,14720.82789,12684.45983,10330.85,
Muricilândia,1713957,muricilandense,ALESSANDRO GONÇALVES BORGES,1186.67,3514,2.66,96.1,0.596,-,12318.26769,10683.9877,11925.05,
Natividade,1714203,nativitano,MARTINHA RODRIGUES NETO,3240.715,9239,2.78,97.8,0.673,28.57,18338.22027,16621.76627,13423.04,
Nazaré,1714302,nazareno,MARIA ELVIRA CHAGAS DE ARAÚJO,395.907,3959,11.08,98.6,0.643,-,12482.22386,11546.31695,11008.3,
Nova Olinda,1714880,novalindense,JOSÉ PEDRO SOBRINHO,1566.184,11719,6.82,95.3,0.631,5.13,27927.46726,25074.10112,22369.86,
Nova Rosalândia,1715002,rosalandense,LADIR MACHADO ALVES,516.308,4215,7.3,98.2,0.661,29.41,12031.6892,11183.43661,12006.92,
Novo Acordo,1715101,novoacordino,ELSON LINO DE AGUIAR FILHO,2674.682,4287,1.41,96.4,0.639,15.63,12542.51498,11889.06704,10031.91,
Novo Alegre,1715150,novoalegrense,FERNANDO PEREIRA GOMES,200.104,2332,11.42,99,0.699,52.63,10400.57616,9002.22388,11276,
Novo Jardim,1715259,novojardinense,ANTÔNIO ARLINDO CIPOLATTO,1309.665,2698,1.88,97.8,0.596,-,13122.4321,11115.23504,10671.39,
Oliveira de Fátima,1715507,oliverense,GESIEL ORCELINO DOS SANTOS,205.85,1106,5.04,98,0.675,47.62,9998.51852,8865.75552,16742.04,
Palmeirante,1715705,palmeirantense,CHARLES DIAS DA SILVA,2640.816,5919,1.88,93.6,0.571,-,18954.28931,15788.3531,13501.37,
Palmeirópolis,1715754,palmeiropolitano,FÁBIO PEREIRA VAZ,1703.944,7641,4.31,98,0.673,13.7,22944.53893,20039.56973,14595.51,
Paraíso do Tocantins,1716109,paraisense,MOISÉS NOGUEIRA AVELINO,1268.06,50602,35.03,98.4,0.764,5.89,106040.4551,86694.04476,24731.81,
Paranã,1716208,paranãense,FABRICIO VIANA CAMELO CONCEIÇÃO,11260.216,10461,0.92,95.4,0.595,14.49,29572.14687,26359.08639,18348.55,
Pau D'Arco,1716307,pau d’arquense,JOAO BATISTA NETO,1377.406,4831,3.33,98,0.661,-,13371.85453,11895.59074,12558.29,
Pedro Afonso,1716505,pedro afonsino,JAIRO SOARES MARIANO,2010.902,13380,5.74,97.4,0.732,15.44,41843.12152,38100.55791,46723.7,
Peixe,1716604,peixense,JOSE AUGUSTO BEZERRA LOPES,5291.206,11623,1.96,96.1,0.674,7.75,41796.66398,35127.90993,44217.32,
Pequizeiro,1716653,pequizeirense,PAULO ROBERTO MARIANO TOLEDO,1209.798,5443,4.18,99.4,0.627,25.97,16866.32852,16397.95661,13498.19,
Colméia,1716703,colmeiense,ELZIVAN NORONHA RODRIGUES SILVA,990.723,8270,8.69,98.3,0.671,7.58,19692.59221,17978.59156,15684.03,
Pindorama do Tocantins,1717008,pindoramense,ALMIR BATISTA SILVA AMARAL,1559.086,4464,2.89,95,0.605,-,12558.97267,11992.34065,10706.58,
Piraquê,1717206,piraquêense,EDUARDO DOS SANTOS SOBRINHO,1367.61,3023,2.14,99,0.621,-,12382.19103,10888.01334,16231.21,
Pium,1717503,piuense,VALDEMIR OLIVEIRA BARROS,10013.766,7564,0.67,92.8,0.65,10.1,22389.70291,18238.50574,20274.37,
Ponte Alta do Bom Jesus,1717800,pontealtense,YAPORAN DA FONSECA MILHOMEM,1806.141,4601,2.52,96.7,0.603,18.87,11883.11158,10483.26667,9892.53,
Ponte Alta do Tocantins,1717909,pontealtense do tocantins,KLEBER RODRIGUES DE SOUSA,6491.125,7961,1.11,95,0.624,8.2,17447.6695,15192.66516,9670.61,
Porto Alegre do Tocantins,1718006,porto-alegrense,RENNAN NUNES CERQUEIRA,501.862,3108,5.57,98.5,0.645,-,10643.06432,9860.49659,9702.44,
Porto Nacional,1718204,portuense,JOAQUIM MAIA LEITE NETO,4449.917,52700,11.04,98.3,0.74,11.62,156191.1531,133878.6638,28589.65,
Praia Norte,1718303,praianortense,HO-CHE-MIN SILVA DE ARAUJO,289.054,8365,26.5,96.8,0.583,16.67,17918.59465,16493.51028,7685.41,
Presidente Kennedy,1718402,kenediense,AILTON FRANCISCO DA SILVA,770.423,3692,4.78,98.6,0.669,19.23,12725.44305,11497.48288,13487.79,
Pugmil,1718451,pugmilense,MARIA DE JESUS RIBEIRO DA SILVA MENDES,401.834,2659,5.9,97.5,0.669,-,12236.44791,10702.54842,20558.95,
Recursolândia,1718501,recursolandense,NADI PINHEIRO DE SOUZA TEIXEIRA,2216.663,4244,1.7,91.7,0.5,35.71,11711.78309,9507.89001,9975.16,
Riachinho,1718550,riachiense,DIVA RIBEIRO DE MELO,517.478,4604,8.1,98.2,0.572,-,15155.94553,13476.88314,9680.46,
Rio da Conceição,1718659,conceiçãoense,MAURO JUNIOR SILVA ARCANJO,787.116,2088,2.18,98.5,0.608,-,10144.88454,8878.06331,8925.59,
Rio dos Bois,1718709,rioboiense,MOACIR DE OLIVEIRA LOPES,845.065,2811,3.04,98.1,0.616,22.73,10940.78014,10174.71533,13182.06,
Rio Sono,1718758,riosonense,JOAOZINEI FRANCISCO DA ROCHA,6354.367,6468,0.98,96.1,0.6,-,14969.6926,14198.80277,9150.36,
Sampaio,1718808,sampaiense,ARMINDO CAYRES DE ALMEIDA,222.29,4627,17.38,98.4,0.606,11.24,11339.72119,9866.51011,8045.7,
Sandolândia,1718840,sandolandense,RADILSON PEREIRA LIMA,3528.631,3378,0.94,98.7,0.659,18.87,13603.59222,11594.35937,19827.64,
Santa Fé do Araguaia,1718865,santaféense,OIDIO GONÇALVES DE OLIVEIRA,1678.091,7426,3.93,92.4,0.616,8.77,16989.02681,16126.12213,15715.24,
Santa Maria do Tocantins,1718881,santamarinense,ITAMAR BARRACHINI,1410.457,3381,2.05,98,0.634,-,10671.58315,9596.87967,13378.78,
Santa Rita do Tocantins,1718899,santa ritense,ARTHUR CAIRES MAIA,3274.948,2344,0.65,94.9,0.651,-,12718.38331,11891.09412,21278.52,
Santa Rosa do Tocantins,1718907,santa rosense,AILTON PARENTE ARAÚJO,1796.257,4811,2.54,97,0.595,13.7,17890.45253,16156.6772,18128.41,
Santa Tereza do Tocantins,1719004,santa terezense,JOSÉ RAIMUNDO DE SOUSA SANTOS,539.912,2834,4.67,97,0.662,-,11356.03726,10371.76929,9922.46,
Santa Terezinha do Tocantins,1720002,terezinense do tocantins,ITELMA BELARMINO DE OLIVEIRA RESPLANDES,269.677,2528,9.17,98.4,0.637,-,12264.61392,11211.85646,12385.33,
