Cliente, TEC, tempo relógio, TS, tempo início serviço, tempo cliente na fila, tempo final do serviço, tempo cliente no sistema, tempo livre do operador, esperou na fila, quantidade de clientes no sistema
68,7.202366983917468,349.93246362847026,2.9227271268496704,390.2920439928049,40.35958036433465,393.2147711196546,43.28230749118432,0.0,1,9
69,4.704040125096412,354.63650375356667,8.398016932208346,393.2147711196546,38.578267366087914,401.61278805186294,46.976284298296264,0.0,1,9
70,1.7779333320534123,356.4144370856201,5.905233809561337,401.61278805186294,45.198350966242856,407.51802186142424,51.103584775804194,0.0,1,10
71,6.655112725578531,363.0695498111986,1.5436825219433474,407.51802186142424,44.44847205022563,409.0617043833676,45.99215457216898,0.0,1,9
72,7.98773595578198,371.0572857669806,3.9492888149854997,409.0617043833676,38.004418616387,413.0109931983531,41.9537074313725,0.0,1,9
73,5.708562370298274,376.7658481372789,2.064198629123287,413.0109931983531,36.2451450610742,415.0751918274764,38.30934369019749,0.0,1,9
74,2.8040837821722926,379.5699319194512,1.5338349681887053,415.0751918274764,35.50525990802515,416.6090267956651,37.03909487621386,0.0,1,10
75,4.594645494113837,384.16457741356504,4.681928070699348,416.6090267956651,32.44444938210006,421.2909548663645,37.12637745279941,0.0,1,10
76,5.6326229640900864,389.79720037765514,11.094038176644728,421.2909548663645,31.493754488709328,432.3849930430092,42.58779266535406,0.0,1,10
77,7.037876125663237,396.83507650331836,7.9552789561539115,432.3849930430092,35.549916539690855,440.3402719991631,43.50519549584477,0.0,1,9
78,5.443692057639397,402.27876856095776,11.503637578148265,440.3402719991631,38.061503438205364,451.84390957731136,49.56514101635363,0.0,1,9
79,8.912709485509728,411.19147804646747,7.018629038260734,451.84390957731136,40.6524315308439,458.8625386155721,47.67106056910463,0.0,1,8
80,5.124046728477697,416.3155247749452,11.270599557901852,458.8625386155721,42.5470138406269,470.1331381734739,53.817613398528756,0.0,1,7
81,6.266766606836297,422.5822913817815,7.682208760600172,470.1331381734739,47.550846791692436,477.8153469340741,55.23305555229261,0.0,1,6
82,6.594763921102673,429.1770553028842,9.67882068665828,477.8153469340741,48.63829163118993,487.4941676207324,58.31711231784821,0.0,1,7
83,5.085496919538564,434.26255222242276,9.397140032666776,487.4941676207324,53.23161539830966,496.89130765339917,62.62875543097643,0.0,1,7
84,8.212343824629517,442.47489604705225,11.3007453018968,496.89130765339917,54.41641160634691,508.192052955296,65.71715690824371,0.0,1,7
85,8.512846301224236,450.98774234827647,9.067515258329582,508.192052955296,57.20431060701952,517.2595682136256,66.2718258653491,0.0,1,8
86,8.980169642687791,459.96791199096424,5.566561299941433,517.2595682136256,57.291656222661345,522.826129513567,62.85821752260278,0.0,1,7
87,1.0041731755506405,460.9720851665149,6.834420103606413,522.826129513567,61.85404434705214,529.6605496171734,68.68846445065856,0.0,1,8
88,7.122275213524849,468.09436038003975,2.0927559690526354,529.6605496171734,61.56618923713364,531.753305586226,63.658945206186274,0.0,1,9
89,5.05455173875211,473.1489121187918,4.423543410905107,531.753305586226,58.60439346743419,536.1768489971312,63.0279368783393,0.0,1,9
90,4.386332286200688,477.5352444049925,2.1735750096684145,536.1768489971312,58.64160459213866,538.3504240067996,60.815179601807074,0.0,1,10
91,5.828917584214041,483.36416198920654,7.676033416589236,538.3504240067996,54.98626201759305,546.0264574233888,62.66229543418228,0.0,1,10
92,2.1302116228935324,485.49437361210005,2.7125918280195243,546.0264574233888,60.53208381128877,548.7390492514083,63.2446756393083,0.0,1,11
93,7.785893397687377,493.28026700978745,10.396370144471252,548.7390492514083,55.458782241620895,559.1354193958796,65.85515238609214,0.0,1,11
94,4.745457117344727,498.02572412713215,11.421732197266888,559.1354193958796,61.10969526874743,570.5571515931465,72.53142746601432,0.0,1,11
95,5.012695944256253,503.03842007138843,9.207795107611725,570.5571515931465,67.51873152175807,579.7649467007582,76.7265266293698,0.0,1,12
96,2.537414305548709,505.57583437693717,7.419607821556652,579.7649467007582,74.189112323821,587.1845545223148,81.60872014537766,0.0,1,13
97,8.957750713317829,514.533585090255,5.4410033322044145,587.1845545223148,72.65096943205981,592.6255578545192,78.09197276426423,0.0,1,13
98,6.529048623933043,521.062633714188,5.228368560785936,592.6255578545192,71.56292414033123,597.8539264153052,76.79129270111717,0.0,1,13
99,6.083750481704889,527.1463841958929,4.4751766377653,597.8539264153052,70.70754221941229,602.3291030530705,75.18271885717759,0.0,1,13
100,8.31143526201251,535.4578194579054,6.970986925760164,602.3291030530705,66.8712835951651,609.3000899788307,73.84227052092525,0.0,1,12
101,6.5413360169681924,541.9991554748736,9.258815919784487,609.3000899788307,67.30093450395702,618.5589058986152,76.5597504237415,0.0,1,11
102,2.7368416084069738,544.7359970832806,10.018845271900046,618.5589058986152,73.82290881533459,628.5777511705153,83.84175408723463,0.0,1,12
103,1.908646688683283,546.6446437719638,8.707583752422128,628.5777511705153,81.93310739855144,637.2853349229374,90.64069115097357,0.0,1,12
104,2.7400179936296603,549.3846617655935,8.068591425619426,637.2853349229374,87.90067315734393,645.3539263485568,95.96926458296336,0.0,1,12
105,4.378564859806367,553.7632266253999,4.070603694114815,645.3539263485568,91.59069972315694,649.4245300426716,95.66130341727175,0.0,1,13
106,1.4717680386344085,555.2349946640343,1.2578178374101294,649.4245300426716,94.18953537863729,650.6823478800817,95.44735321604742,0.0,1,14
107,4.6487023197458965,559.8836969837802,6.383735225740453,650.6823478800817,90.79865089630152,657.0660831058221,97.18238612204198,0.0,1,14
108,2.2668092749471755,562.1505062587273,9.815099425840168,657.0660831058221,94.91557684709483,666.8811825316623,104.730676272935,0.0,1,15
109,6.24004788899832,568.3905541477257,7.8862519802969775,666.8811825316623,98.49062838393661,674.7674345119592,106.37688036423359,0.0,1,16
110,3.1295036799706306,571.5200578276963,3.2745060758352986,674.7674345119592,103.24737668426292,678.0419405877946,106.52188276009822,0.0,1,16
